#,Category: Broad classification of the technology or solution,Technology: Specific technology or innovation within the category,"Functionality: The purpose or role of the technology, describing what it does or how it contributes to the system.",Description,"Industrial TRL: The maturity level of the technology, based on the TRL scale (1-9).","Industrial TRL Range: The maturity level of the technology, based on the TRL scale (1-9).",Comments on why it is assigned as such for the Industry TRL (incl. References),"Shell TRL: The maturity level of the technology, based on the TRL scale (1-9).",Comments on why it is assigned as such for the Shell TRL,Shell working on it?,"Describe the current state of the technology, its capabilities, limitations, and relevance to the organization.",Use cases ,Technology Maturation Plan in Place?,Natural Team member,Technology Strategy
87,Edge Computing,Edge Infrastructure and management,"Infrastructure & Management - Orchestration, Life Cycle Management, Edge Security, Edge Virtualization, containerization","An industrial edge platform provides a unified and secure environment to manage distributed edge computing system across the Shell assets. The platform supports device lifecycle management, application deployment, real-time monitoring across assets sites and ensure scalability and interoperability with IT/OT systems. The platform integrates Edge Orchestration, and LifeCycle management to automate provisioning, workload scheduling, AI model management, and over the air updates for applications and AI models. Edge computing virtualization and containerization technologies like eve-os, KVM etc, while containerization provide the isolated execution of AI/ML models close to the data source. Edge Security ensuring encryption, access control and regulatory compliance. In addition, platform will provide low latency AI inference, continous model updates or periodic model updates and autonomous decision makign at the edge, this reduce the dependency on cloud computing infrastructure ","8 - Actual system completed and qualified through test and demonstration – Technology is proven to work in its final form and under expected conditions. (Business go-live, IDT Portfolio Managed)",8 average,"The Industrial Edge Platforms are matured and Azure, AWS, Zededa, Siemens, Yokogawa are providing the production level offerings, in addition these platforms are used in automative companies hence the technology readiness is at production level",5 - Component and/or breadboard validation in relevant environment – More advanced testing in environments that simulate real-world conditions. (Proof of Concept with synthetic data),"Platform like IoTech, Dell and Zededa are being validated for suitability, scalability. While Azure IoT/Edge is being used for onboarding IIoT sensors and Gateways. Present adapata ",Yes,Current State of the technology & capabilities,"The Industrial Edge Platform is not a direct problem-solving layer but a foundational orchestration and management framework that enables scalable deployment of edge computing and AI solutions across Shell assets. It provides the infrastructure, security, lifecycle management, and data governance needed to operationalize and maintain distributed edge environments.",,,Ride the wave
,,,,,,8–9 (general),,,,,IRMS – IIoT Remote Monitoring Services,"As edge workloads (AI models, analytics, control logic) expand across wells, terminals, and refineries, the platform becomes critical for standardization, reliability, and centralized control of the entire edge ecosystem.",,,
,,,,,,"7–8 (Azure IoT Edge, AWS IoT GreenGrass, Zededa, Siemens, Yokogawa)",,,,,"• Sensor onboarding and configuration management, including integration of LoRa, zigbee, serial devices",Edge Device & Application Lifecycle Management,,,
,,,,,,,,,,,"• Edge gateway lifecycle management (deployment, registration, and monitoring).","Manages the complete lifecycle of on-premises edge gateways and devices from a centralized cloud-based industrial edge platform, covering onboarding, configuration, security, authentication, and upgrades. Provides unified visibility and telemetry for all edge assets, ensuring real-time monitoring of system health, connectivity, and compliance.",,,
,,,,,,,,,,,OpenX / IoTech / Zededa,"Enables containerized application deployment, versioning, and performance tracking across distributed sites, ensuring consistent, secure, and governed edge operations enterprise-wide.",,,
,,,,,,,,,,,"• Containerized application hosting for data acquisition, and publishing to cloud systems",IT/OT Convergence Layer,,,
,,,,,,,,,,,"• Connectivity and protocol translation, enabling data flow between field sensors and cloud endpoints.","Acts as the integration bridge between OT systems (PLCs, SCADA, DCS) and enterprise IT environments. It provides the runtime, different data connectors, that allows edge computing nodes to ingest data from PLCs, SCADA, DCS system, it also standardizes data exchange and contextualization using industrial protocols (OPC-UA, Modbus, MQTT), enabling real-time, secure, and interoperable data flow between OT and cloud-based analytics or control systems.",,,
,,,,,,,,,,,"• Lab testing of the visual & timeseries data ingestion, data contextualization and publishing to the cloud environment for analytics",Edge Security & Governance,,,
,,,,,,,,,,,Limitations,"Implements a zero-trust security model across all edge devices, managing authentication, encryption, and access policies from a central control plane.",,,
,,,,,,,,,,,• Limited integration with real-world operational systems (OT/SCADA/DCS) — deployment not yet at production scale.,"Enforces role-based access control (RBAC), audit trails, and compliance with organizational cybersecurity and data governance policies to protect distributed industrial assets.",,,
,,,,,,,,,,,"• AI/analytics workloads not fully utilized at the edge (e.g., model inference, anomaly detection).",Edge Application Orchestration,,,
,,,,,,,,,,,"• Security, device orchestration, and scalability testing still at an early stage.","Application deployment, configuration and monitoring will be performed by the Industrial Edge platform.  Support container orchestration viz. Dockers/Kubernetes for consistent runtime environments for the AI or other applications at Edge.",,,
,,,,,,,,,,,• Data quality and reliability validation pending real sensor data ingestion from field assets.,Data Model & Local Processing,,,
,,,,,,,,,,,• Lack of IT/OT orchestration workflows (closed-loop control or federated data sharing not yet realized).,"Defines a standardized data model managed from the cloud, enabling distributed edge nodes to ingest, transform, and pre-process data locally.",,,
,,,,,,,,,,,Relevance to the Organization,"The platform orchestrates data filtering, aggregation, and buffering policies at the edge to minimize bandwidth use and latency. It also facilitates real time insights and edge computing autonomous operaiotns, ensuring continuity of operations even under intermittent connectivity",,,
,,,,,,,,,,,"• Establishes the foundation for future edge-driven digital operations, serving as the bridge between sensors, gateways, and AI platform.",Federated & Multi-Site Coordination,,,
,,,,,,,,,,,"• Enables rapid prototyping and evaluation of edge connectivity, management, and observability before field-scale rollout.","Connects and manages multiple edge sites through a central orchestration layer, enabling distributed analytics, configuration consistency, and model collaboration.",,,
,,,,,,,,,,,"• Positions the organization to evolve toward higher TRLs (6–8) by integrating real time data processing, edge AI analytics, and control logic, leading to autonomous and resilient edge ecosystems.","Supports federated learning and policy synchronization, allowing each site to learn locally while contributing to enterprise-level model improvement without sharing raw data.                                                                                   ",,,
,,,,,,,,,,,"• In the longer terms, further maturity will support our transition efforts towards autonomous and self-optimizing assets through edge computing ecosystems integrated with the assets. Each edge computing system consists of AI models and control logics to collaborate and aggregated insights with other edge computing systems across the assets. Continuous collaboration will result in adaptive learnings for continuous improvement of the assets operations. The Industrial edge platform will provide the bridge to accomplish autonomous operations and self-optimization:",,,,
88,Edge Computing,Edge AI,Edge AI - Local Inference and Analytics,"Deployement of Edge optimized AI models on the constrained devices (low compute, memory and power), Using lightweight runtimes, frameworks and compilers such as Tflite, Pytorch Mobile, TVM Compilers and format conversion","8 - Actual system completed and qualified through test and demonstration – Technology is proven to work in its final form and under expected conditions. (Business go-live, IDT Portfolio Managed)",7 average,"Edge AI is a technologically mature and widely adopted capability, particularly in industrial and embedded domains. Camera and manufacturing system OEMs have successfully deployed AI inference models at the edge for real-time defect detection, quality inspection, and process optimization.",4 - Component and/or breadboard validation in laboratory environment – Basic technological components are integrated and tested in a lab.  (Proof of Concept with sample data),"Within Shell, Edge AI adoption remains limited, with most AI inference, model execution, and prediction workloads still dependent on centralized cloud computing infrastructure.",Yes,Current State of the Technology,QGC Remote Upstream Wellsites Monitoring,,,Ride the wave
,,,,,,6–7 (pilot),"The open-source ecosystem provides robust support through AI model optimization toolchains, including format converters (ONNX, TFLite), AI compilers and runtimes (TensorRT, OpenVINO, TVM), enabling deployment on resource-constrained edge compute systems.",,"Currently, edge computing systems primarily function as data gateways, responsible for sensor data acquisition using different communication protocols, hosting of OPCUA server on the edge computing system to provide a uniform data model, in addition could be used as the standardized interface between heterogenous OT devices and secure transmission of aggregated data streams to the cloud for further processing.",,"Within the organization, Edge AI adoption is at an early stage, with most AI inference, model execution, and prediction workloads still dependent on centralized cloud computing infrastructure.","A potential Edge AI use case involves analyzing real-time HPU, pump, and visual sensor data at QGC wellsites to support localized optimization of gas production and safety.",,,
,,,,,,"7–8 (predictive maintenance AI, In Manufacturing - Defect detection)","Simultaneously, hardware vendors have commercialized AI-accelerated edge platforms equipped with GPUs, CPUs, NPUs, and IPUs, providing dedicated inference acceleration and optimized power-performance balance.",,"These edge gateways perform minimal local computation, mainly handling data buffering, and connectivity management, rather than executing machine learning models or real-time analytics.",,"Existing Edge computing systems are primarily used as data gateways, handling sensor data acquisition, protocol translation, and data standardization through OPC UA servers hosted on the edge devices. These servers provide a uniform data model and secure data model but lack integrated AI runtime, model management or edge inference capabilities",The system could autonomously adjust HPU output or pump speed to maintain optimal flow and efficiency.,,,
,,,,,,,,,"As a result, the computational and AI inference capabilities of the deployed edge hardware remain underutilized, and latency-sensitive or offline AI use cases (e.g., real-time anomaly detection, local image classification, or control optimization) are not yet realized.",,Capabilities,"Using machine vision models, it may monitor oil levels in the HPU sight glass and detect spills or leaks, providing instant alerts to remote operators.",,,
,,,,,,,,,"To advance toward true Edge AI enablement (TRL 6–8), integration of optimized AI runtimes, model deployment pipelines, and inference orchestration on these gateways will be required, along with a governance framework for distributed model lifecycle management.",,"• Multi-protocol data acquisition: Supports Modbus, OPC UA, MQTT, and other industrial protocols for seamless OT connectivity.","Such an approach would enable faster decision-making, improved reliability, and reduced dependence on cloud-based monitoring in remote operations.",,,
,,,,,,,,,,,"• Edge compute: Edge nodes can host containerization workloads, enabling future deployment of AI inference services",HSSE – Real-Time Safety Monitoring,,,
,,,,,,,,,,,"• Secure communication: Ensures encrypted and authenticated data exchange between sensors, edge gateways and cloud environments.","At remote or hazardous locations, Edge AI enhances safety by providing instant PPE compliance checks, gas leak and fire detection, and operator fatigue monitoring. Running these models locally ensures immediate alerts and automated safety actions even without reliable connectivity.",,,
,,,,,,,,,,,Limitations,Direct Air Capture,,,
,,,,,,,,,,,• AI models and inference workloads are not currently deployed at the edge primarily because the operational need for on-premises inference has been limited,"A potential Edge AI use case in Direct Air Capture (DAC) involves locally monitoring and optimizing the CO₂ capture process by analyzing airflow, temperature, humidity, and sorbent condition data.",,,
,,,,,,,,,,,"• Model lifecycle gaps: lack of standardized tooling for model versioning, deployment and monitoring at the edge","Edge models can dynamically adjust fan speeds, heat exchanger loads, and regeneration cycles for energy-efficient operation.",,,
,,,,,,,,,,,•Progressively development of the foundational capabilities is required for deploying AI models on edge computing systems,"They also enable closed-loop control of pumps and valves, perform predictive maintenance, and correlate environmental data to improve absorption efficiency.",,,
,,,,,,,,,,,Relevance to the Organization,"This localized intelligence allows DAC units to operate autonomously and efficiently, even in remote locations with limited cloud connectivity.",,,
,,,,,,,,,,,• The existing edge infrastructure forms a critical foundational layer for the Shell's digital and AI transformation journey.,Marine and Offshore Operations:,,,
,,,,,,,,,,,"• It provides secure, standardized, and real-time data flow from field assets to enterprise systems, enabling data-driven decision-making.","Edge AI supports vessel safety, navigation, and equipment health monitoring, performing onboard analysis of radar, engine, and camera data. It allows real-time decision-making in offshore environments with limited bandwidth.",,,
